date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:44	3006/3006	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:19:19%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-2-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed983d	(from https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/)
19:21:39	914/914	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/)
19:21:45	19811/19811	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:19%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1567	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1567.json	(from https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/)
19:21:48	914/914	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/)
19:21:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:18:47%20GMT	https://hadafplay.com/?p=1575	C:/My%20Web%20Sites/atif/hadafplay.com/index4817.html	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:21:51	2786/2786	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:25%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-1-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed5308.json	(from https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/)
19:21:53	2998/2998	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:20:25%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-1-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed4309	(from https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/)
19:21:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:19:15%20GMT	https://hadafplay.com/?p=1572	C:/My%20Web%20Sites/atif/hadafplay.com/indexa9e1.html	(from https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/)
19:21:54	18985/18985	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:28%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1951	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1951.json	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:21:55	2516/2516	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:30%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-4-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed9ef0.json	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:21:58	2724/2724	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:20:31%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-4-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedff1e	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:22:04	154940/154940	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2031%20Mar%202024%2014:20:33%20GMT	https://hadafplay.com/category/ibn-sina/	C:/My%20Web%20Sites/atif/hadafplay.com/category/ibn-sina/index.html	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:20:21%20GMT	https://hadafplay.com/?p=1567	C:/My%20Web%20Sites/atif/hadafplay.com/indexbd0a.html	(from https://hadafplay.com/kizil-elma-episode-1-with-urdu-subtitles/)
19:22:06	21537/21537	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:40%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1564	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1564.json	(from https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/)
19:22:07	908/908	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:22:08	2764/2764	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:42%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-3-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedf8f0.json	(from https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/)
19:22:09	2980/2980	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:20:43%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-3-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed0925	(from https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/)
19:22:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:20:29%20GMT	https://hadafplay.com/?p=1951	C:/My%20Web%20Sites/atif/hadafplay.com/index24f2.html	(from https://hadafplay.com/ibn-sina-episode-4-with-urdu-subtitles/)
19:22:11	21047/21047	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:20:45%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1561	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1561.json	(from https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/)
19:22:24	908/908	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/)
19:22:28	2764/2764	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:21:02%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-2-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed38ef.json	(from https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/)
19:22:29	2980/2980	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:21:03%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-2-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed07cd	(from https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/)
19:22:29	908/908	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/)
19:22:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:20:42%20GMT	https://hadafplay.com/?p=1564	C:/My%20Web%20Sites/atif/hadafplay.com/index461c.html	(from https://hadafplay.com/ibn-sina-episode-3-with-urdu-subtitles/)
19:22:31	19939/19939	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:21:05%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1558	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1558.json	(from https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/)
19:22:33	2760/2760	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:21:07%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-1-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed65ce.json	(from https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/)
19:22:34	2972/2972	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:21:08%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fibn-sina-episode-1-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embede053	(from https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/)
19:23:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:20:47%20GMT	https://hadafplay.com/?p=1561	C:/My%20Web%20Sites/atif/hadafplay.com/index48a5.html	(from https://hadafplay.com/ibn-sina-episode-2-with-urdu-subtitles/)
19:23:13	908/908	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/)
19:23:16	39458/39458	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:21:50%20GMT	https://hadafplay.com/wp-json/wp/v2/pages/1647	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/pages/1647.json	(from https://hadafplay.com/barbaroslar-urdu/)
19:23:22	179725/179725	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2031%20Mar%202024%2014:21:49%20GMT	https://hadafplay.com/barbaroslar-episode-3-with-urdu-subtitles/	C:/My%20Web%20Sites/atif/hadafplay.com/barbaroslar-episode-3-with-urdu-subtitles/index.html	(from https://hadafplay.com/ibn-sina-episode-1-with-urdu-subtitles/)
19:23:23	2121/2121	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:21:57%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fbarbaroslar-urdu%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embeda188.json	(from https://hadafplay.com/barbaroslar-urdu/)
